,Minirocket,Minirocket_AUG
ACSF1,0.83,0.7
Adiac,0.8005115089514067,0.35805626598465473
ArrowHead,0.7657142857142857,0.56
Beef,0.9,0.5333333333333333
BeetleFly,0.85,0.75
BirdChicken,0.9,0.75
BME,0.9933333333333333,0.7133333333333334
Car,0.85,0.5666666666666667
CBF,0.99,0.8266666666666667
Chinatown,0.9825072886297376,0.8688046647230321
ChlorineConcentration,0.7244791666666667,0.54453125
CinCECGTorso,0.9956521739130435,0.6028985507246377
Coffee,1.0,0.9642857142857143
Computers,0.684,0.728
CricketX,0.7256410256410256,0.5666666666666667
CricketY,0.7717948717948718,0.5666666666666667
CricketZ,0.7871794871794872,0.6256410256410256
DiatomSizeReduction,0.8823529411764706,0.7222222222222222
DistalPhalanxOutlineAgeGroup,0.7553956834532374,0.7122302158273381
DistalPhalanxOutlineCorrect,0.7898550724637681,0.7572463768115942
DistalPhalanxTW,0.6834532374100719,0.6187050359712231
Earthquakes,0.7482014388489209,0.7697841726618705
ECG200,0.88,0.76
ECG5000,0.9422222222222222,0.93
ECGFiveDays,0.983739837398374,0.6202090592334495
EOGHorizontalSignal,0.569060773480663,0.4530386740331492
EOGVerticalSignal,0.5524861878453039,0.39226519337016574
EthanolLevel,0.566,0.274
FaceAll,0.750887573964497,0.7142011834319527
FaceFour,0.9886363636363636,0.5795454545454546
FacesUCR,0.8946341463414634,0.6385365853658537
FiftyWords,0.7824175824175824,0.5494505494505495
Fish,0.9428571428571428,0.6914285714285714
FordA,0.9022727272727272,0.9068181818181819
FordB,0.7530864197530864,0.7345679012345679
FreezerRegularTrain,0.9992982456140351,0.9957894736842106
FreezerSmallTrain,0.9996491228070176,0.9796491228070175
GunPoint,0.9866666666666667,0.82
GunPointAgeSpan,0.9683544303797469,0.9050632911392406
GunPointMaleVersusFemale,0.9968354430379747,0.9968354430379747
GunPointOldVersusYoung,0.9682539682539683,0.9238095238095239
Ham,0.7142857142857143,0.6190476190476191
Haptics,0.4935064935064935,0.3409090909090909
Herring,0.5625,0.5625
HouseTwenty,0.957983193277311,0.9411764705882353
InlineSkate,0.4218181818181818,0.3090909090909091
InsectEPGRegularTrain,0.9076305220883534,0.8674698795180723
InsectEPGSmallTrain,0.8032128514056225,0.7108433734939759
InsectWingbeatSound,0.6772727272727272,0.5262626262626262
ItalyPowerDemand,0.9659863945578231,0.8765792031098154
LargeKitchenAppliances,0.7946666666666666,0.7573333333333333
Lightning2,0.7540983606557377,0.639344262295082
Lightning7,0.7397260273972602,0.5616438356164384
Mallat,0.9569296375266525,0.7927505330490405
Meat,0.95,0.5666666666666667
MedicalImages,0.756578947368421,0.6644736842105263
MiddlePhalanxOutlineAgeGroup,0.6233766233766234,0.6168831168831169
MiddlePhalanxOutlineCorrect,0.8419243986254296,0.7319587628865979
MiddlePhalanxTW,0.5714285714285714,0.5454545454545454
MixedShapesRegularTrain,0.9534020618556701,0.9109278350515464
MixedShapesSmallTrain,0.9224742268041237,0.8548453608247423
MoteStrain,0.9249201277955271,0.8282747603833865
OliveOil,0.9333333333333333,0.36666666666666664
OSULeaf,0.7107438016528925,0.6239669421487604
PhalangesOutlinesCorrect,0.8368298368298368,0.717948717948718
Phoneme,0.3639240506329114,0.3090717299578059
PigAirwayPressure,0.11057692307692307,0.11057692307692307
PigArtPressure,0.6057692307692307,0.5769230769230769
PigCVP,0.32211538461538464,0.2980769230769231
Plane,1.0,0.9428571428571428
PowerCons,0.9555555555555556,0.8333333333333334
ProximalPhalanxOutlineAgeGroup,0.8292682926829268,0.8536585365853658
ProximalPhalanxOutlineCorrect,0.8865979381443299,0.7560137457044673
ProximalPhalanxTW,0.8097560975609757,0.775609756097561
RefrigerationDevices,0.5626666666666666,0.5333333333333333
Rock,0.94,0.48
ScreenType,0.52,0.464
SemgHandGenderCh2,0.9683333333333334,0.7916666666666666
SemgHandMovementCh2,0.8177777777777778,0.5511111111111111
SemgHandSubjectCh2,0.9177777777777778,0.7733333333333333
ShapeletSim,0.9166666666666666,0.8611111111111112
ShapesAll,0.84,0.6366666666666667
SmallKitchenAppliances,0.824,0.8133333333333334
SmoothSubspace,0.9933333333333333,0.9066666666666666
SonyAIBORobotSurface1,0.8186356073211315,0.7720465890183028
SonyAIBORobotSurface2,0.8740818467995802,0.8331584470094439
Strawberry,0.9675675675675676,0.8756756756756757
SwedishLeaf,0.9616,0.84
Symbols,0.9517587939698492,0.8753768844221106
SyntheticControl,0.9966666666666667,0.98
ToeSegmentation1,0.9254385964912281,0.9122807017543859
ToeSegmentation2,0.8307692307692308,0.8461538461538461
Trace,1.0,0.97
TwoLeadECG,0.9587357330992098,0.874451273046532
TwoPatterns,0.998,0.996
UMD,0.9236111111111112,0.6805555555555556
UWaveGestureLibraryX,0.8291457286432161,0.7627024008933556
UWaveGestureLibraryY,0.7646566164154104,0.679787828029034
UWaveGestureLibraryZ,0.7713567839195979,0.67392518146287
Wafer,0.9975665152498377,0.9935107073329007
Wine,0.7592592592592593,0.5740740740740741
WordSynonyms,0.6880877742946708,0.4843260188087774
Worms,0.7012987012987013,0.7402597402597403
WormsTwoClass,0.7532467532467533,0.8051948051948052
Yoga,0.8616666666666667,0.6406666666666667
