,Minirocket,Minirocket_AUG
ACSF1,0.91,0.9
Adiac,0.8260869565217391,0.7723785166240409
ArrowHead,0.8742857142857143,0.8457142857142858
Beef,0.8333333333333334,0.7333333333333333
BeetleFly,0.85,0.85
BirdChicken,0.9,0.9
BME,1.0,0.9933333333333333
Car,0.9166666666666666,0.9
CBF,0.9988888888888889,0.9988888888888889
Chinatown,0.9854227405247813,0.9825072886297376
ChlorineConcentration,0.7596354166666667,0.7104166666666667
CinCECGTorso,0.8717391304347826,0.8188405797101449
Coffee,1.0,1.0
Computers,0.724,0.74
CricketX,0.8051282051282052,0.8128205128205128
CricketY,0.8333333333333334,0.8076923076923077
CricketZ,0.8282051282051283,0.7948717948717948
DiatomSizeReduction,0.9281045751633987,0.9052287581699346
DistalPhalanxOutlineAgeGroup,0.7194244604316546,0.7122302158273381
DistalPhalanxOutlineCorrect,0.7644927536231884,0.7717391304347826
DistalPhalanxTW,0.6618705035971223,0.6474820143884892
Earthquakes,0.7410071942446043,0.7985611510791367
ECG200,0.91,0.91
ECG5000,0.9448888888888889,0.9426666666666667
ECGFiveDays,1.0,1.0
EOGHorizontalSignal,0.5883977900552486,0.5883977900552486
EOGVerticalSignal,0.5497237569060773,0.5580110497237569
EthanolLevel,0.596,0.582
FaceAll,0.8017751479289941,0.829585798816568
FaceFour,0.9886363636363636,0.9659090909090909
FacesUCR,0.9580487804878048,0.9580487804878048
FiftyWords,0.8461538461538461,0.8373626373626374
Fish,0.9828571428571429,0.9771428571428571
FordA,0.95,0.9424242424242424
FordB,0.808641975308642,0.8148148148148148
FreezerRegularTrain,0.9996491228070176,0.9996491228070176
FreezerSmallTrain,0.9670175438596491,0.9943859649122807
GunPoint,0.9933333333333333,1.0
GunPointAgeSpan,0.9936708860759493,0.9936708860759493
GunPointMaleVersusFemale,1.0,0.9968354430379747
GunPointOldVersusYoung,0.9936507936507937,0.9936507936507937
Ham,0.7333333333333333,0.7428571428571429
Haptics,0.5194805194805194,0.5032467532467533
Herring,0.703125,0.6875
HouseTwenty,0.9663865546218487,0.9663865546218487
InlineSkate,0.4618181818181818,0.44545454545454544
InsectEPGRegularTrain,0.9879518072289156,0.9959839357429718
InsectEPGSmallTrain,0.9437751004016064,0.9236947791164659
InsectWingbeatSound,0.6762626262626262,0.6343434343434343
ItalyPowerDemand,0.9689018464528668,0.9640427599611273
LargeKitchenAppliances,0.8586666666666667,0.872
Lightning2,0.7704918032786885,0.7540983606557377
Lightning7,0.821917808219178,0.7534246575342466
Mallat,0.9398720682302771,0.9006396588486141
Meat,0.9666666666666667,0.9333333333333333
MedicalImages,0.8065789473684211,0.7934210526315789
MiddlePhalanxOutlineAgeGroup,0.5844155844155844,0.5584415584415584
MiddlePhalanxOutlineCorrect,0.8384879725085911,0.8281786941580757
MiddlePhalanxTW,0.525974025974026,0.4935064935064935
MixedShapesRegularTrain,0.9703092783505155,0.9682474226804124
MixedShapesSmallTrain,0.9509278350515464,0.945979381443299
MoteStrain,0.9273162939297125,0.9313099041533547
OliveOil,0.9333333333333333,0.9
OSULeaf,0.9545454545454546,0.9669421487603306
PhalangesOutlinesCorrect,0.8321678321678322,0.8414918414918415
Phoneme,0.2916666666666667,0.28270042194092826
PigAirwayPressure,0.6538461538461539,0.625
PigArtPressure,0.9807692307692307,0.9759615384615384
PigCVP,0.9423076923076923,0.9423076923076923
Plane,1.0,1.0
PowerCons,0.9777777777777777,0.9611111111111111
ProximalPhalanxOutlineAgeGroup,0.848780487804878,0.8634146341463415
ProximalPhalanxOutlineCorrect,0.9003436426116839,0.9037800687285223
ProximalPhalanxTW,0.8097560975609757,0.7804878048780488
RefrigerationDevices,0.4666666666666667,0.4666666666666667
Rock,0.88,0.86
ScreenType,0.472,0.4613333333333333
SemgHandGenderCh2,0.925,0.88
SemgHandMovementCh2,0.6244444444444445,0.5688888888888889
SemgHandSubjectCh2,0.8755555555555555,0.8288888888888889
ShapeletSim,1.0,1.0
ShapesAll,0.9183333333333333,0.925
SmallKitchenAppliances,0.8293333333333334,0.8346666666666667
SmoothSubspace,0.94,0.9466666666666667
SonyAIBORobotSurface1,0.9001663893510815,0.8901830282861897
SonyAIBORobotSurface2,0.9108079748163693,0.9108079748163693
Strawberry,0.981081081081081,0.9702702702702702
SwedishLeaf,0.9664,0.96
Symbols,0.9809045226130654,0.9819095477386934
SyntheticControl,0.98,0.9866666666666667
ToeSegmentation1,0.9605263157894737,0.9473684210526315
ToeSegmentation2,0.9307692307692308,0.9076923076923077
Trace,1.0,1.0
TwoLeadECG,0.9982440737489026,0.9973661106233538
TwoPatterns,0.99725,0.99675
UMD,0.9930555555555556,0.9930555555555556
UWaveGestureLibraryX,0.8450586264656617,0.8470128419877163
UWaveGestureLibraryY,0.7702400893355668,0.7769402568397543
UWaveGestureLibraryZ,0.8006700167504187,0.8012283640424344
Wafer,0.9995133030499675,0.999675535366645
Wine,0.8148148148148148,0.7592592592592593
WordSynonyms,0.7554858934169278,0.7413793103448276
Worms,0.7532467532467533,0.7272727272727273
WormsTwoClass,0.7662337662337663,0.8051948051948052
Yoga,0.914,0.907
