,Minirocket,Minirocket_AUG
ACSF1,0.88,0.87
Adiac,0.7800511508951407,0.7084398976982097
ArrowHead,0.8457142857142858,0.7771428571428571
Beef,0.8666666666666667,0.7333333333333333
BeetleFly,0.95,0.9
BirdChicken,0.9,0.9
BME,0.8933333333333333,0.9066666666666666
Car,0.8166666666666667,0.8166666666666667
CBF,0.9911111111111112,0.9722222222222222
Chinatown,0.956268221574344,0.9650145772594753
ChlorineConcentration,0.6778645833333333,0.6143229166666667
CinCECGTorso,0.9898550724637681,0.9818840579710145
Coffee,1.0,1.0
Computers,0.668,0.648
CricketX,0.7538461538461538,0.6307692307692307
CricketY,0.7794871794871795,0.6948717948717948
CricketZ,0.7666666666666667,0.6282051282051282
DiatomSizeReduction,0.9150326797385621,0.7712418300653595
DistalPhalanxOutlineAgeGroup,0.7769784172661871,0.7266187050359713
DistalPhalanxOutlineCorrect,0.7391304347826086,0.7536231884057971
DistalPhalanxTW,0.6906474820143885,0.6546762589928058
Earthquakes,0.697841726618705,0.7050359712230215
ECG200,0.86,0.82
ECG5000,0.9433333333333334,0.9422222222222222
ECGFiveDays,0.9988385598141696,0.983739837398374
EOGHorizontalSignal,0.48066298342541436,0.3342541436464088
EOGVerticalSignal,0.27624309392265195,0.212707182320442
EthanolLevel,0.486,0.452
FaceAll,0.7917159763313609,0.8171597633136095
FaceFour,0.9659090909090909,0.7954545454545454
FacesUCR,0.8785365853658537,0.88
FiftyWords,0.7956043956043956,0.7252747252747253
Fish,0.9885714285714285,0.9542857142857143
FordA,0.9431818181818182,0.9492424242424242
FordB,0.8012345679012346,0.7802469135802469
FreezerRegularTrain,0.9740350877192983,0.9705263157894737
FreezerSmallTrain,0.9775438596491228,0.960701754385965
GunPoint,0.9933333333333333,0.9933333333333333
GunPointAgeSpan,0.9810126582278481,0.9841772151898734
GunPointMaleVersusFemale,0.9968354430379747,0.9841772151898734
GunPointOldVersusYoung,0.9968253968253968,0.9809523809523809
Ham,0.6666666666666666,0.5904761904761905
Haptics,0.3474025974025974,0.37987012987012986
Herring,0.703125,0.609375
HouseTwenty,0.907563025210084,0.8991596638655462
InlineSkate,0.4781818181818182,0.4309090909090909
InsectEPGRegularTrain,0.9919678714859438,0.963855421686747
InsectEPGSmallTrain,0.9397590361445783,0.9477911646586346
InsectWingbeatSound,0.6227272727272727,0.6101010101010101
ItalyPowerDemand,0.9630709426627794,0.9319727891156463
LargeKitchenAppliances,0.704,0.6053333333333333
Lightning2,0.6885245901639344,0.5901639344262295
Lightning7,0.7945205479452054,0.6438356164383562
Mallat,0.9458422174840085,0.8899786780383795
Meat,0.9,0.75
MedicalImages,0.6907894736842105,0.7210526315789474
MiddlePhalanxOutlineAgeGroup,0.5909090909090909,0.5454545454545454
MiddlePhalanxOutlineCorrect,0.8384879725085911,0.7353951890034365
MiddlePhalanxTW,0.5844155844155844,0.4805194805194805
MixedShapesRegularTrain,0.9731958762886598,0.9674226804123711
MixedShapesSmallTrain,0.951340206185567,0.9463917525773196
MoteStrain,0.9600638977635783,0.9640575079872205
OliveOil,0.8666666666666667,0.5333333333333333
OSULeaf,0.9669421487603306,0.9504132231404959
PhalangesOutlinesCorrect,0.7867132867132867,0.745920745920746
Phoneme,0.26951476793248946,0.2737341772151899
PigAirwayPressure,0.5865384615384616,0.5048076923076923
PigArtPressure,1.0,0.9903846153846154
PigCVP,0.9615384615384616,0.8798076923076923
Plane,1.0,1.0
PowerCons,0.9333333333333333,0.9055555555555556
ProximalPhalanxOutlineAgeGroup,0.8536585365853658,0.8536585365853658
ProximalPhalanxOutlineCorrect,0.865979381443299,0.8591065292096219
ProximalPhalanxTW,0.7804878048780488,0.7951219512195122
RefrigerationDevices,0.5573333333333333,0.536
Rock,0.86,0.76
ScreenType,0.44533333333333336,0.4106666666666667
SemgHandGenderCh2,0.6616666666666666,0.5616666666666666
SemgHandMovementCh2,0.3088888888888889,0.3288888888888889
SemgHandSubjectCh2,0.7222222222222222,0.6066666666666667
ShapeletSim,0.9944444444444445,0.7666666666666667
ShapesAll,0.9066666666666666,0.845
SmallKitchenAppliances,0.7493333333333333,0.7306666666666667
SmoothSubspace,0.7733333333333333,0.84
SonyAIBORobotSurface1,0.8868552412645591,0.8968386023294509
SonyAIBORobotSurface2,0.9580272822665268,0.9139559286463799
Strawberry,0.9675675675675676,0.9675675675675676
SwedishLeaf,0.96,0.9408
Symbols,0.9557788944723619,0.9688442211055276
SyntheticControl,0.9866666666666667,0.9833333333333333
ToeSegmentation1,0.9605263157894737,0.9122807017543859
ToeSegmentation2,0.9076923076923077,0.9153846153846154
Trace,0.99,1.0
TwoLeadECG,0.9973661106233538,0.9648814749780509
TwoPatterns,0.97325,0.941
UMD,0.9722222222222222,0.9027777777777778
UWaveGestureLibraryX,0.7694025683975433,0.711892797319933
UWaveGestureLibraryY,0.5999441652707984,0.5697934115019542
UWaveGestureLibraryZ,0.6867671691792295,0.6543830262423227
Wafer,0.9983776768332252,0.9998377676833226
Wine,0.8148148148148148,0.6481481481481481
WordSynonyms,0.6677115987460815,0.5470219435736677
Worms,0.8051948051948052,0.7922077922077922
WormsTwoClass,0.8441558441558441,0.8181818181818182
Yoga,0.8453333333333334,0.7736666666666666
