,Minirocket,Minirocket_AUG
ACSF1,0.87,0.78
Adiac,0.7058823529411765,0.5191815856777494
ArrowHead,0.72,0.7314285714285714
Beef,0.5666666666666667,0.5
BeetleFly,0.7,0.7
BirdChicken,0.9,0.9
BME,0.9066666666666666,0.8733333333333333
Car,0.7666666666666667,0.65
CBF,0.9677777777777777,0.8933333333333333
Chinatown,0.9008746355685131,0.9037900874635568
ChlorineConcentration,0.5986979166666667,0.5588541666666667
CinCECGTorso,0.7942028985507247,0.6615942028985508
Coffee,1.0,1.0
Computers,0.708,0.696
CricketX,0.5666666666666667,0.5461538461538461
CricketY,0.5435897435897435,0.5692307692307692
CricketZ,0.6205128205128205,0.5743589743589743
DiatomSizeReduction,0.9411764705882353,0.8496732026143791
DistalPhalanxOutlineAgeGroup,0.7050359712230215,0.7338129496402878
DistalPhalanxOutlineCorrect,0.7862318840579711,0.7717391304347826
DistalPhalanxTW,0.6474820143884892,0.6258992805755396
Earthquakes,0.7410071942446043,0.7697841726618705
ECG200,0.83,0.81
ECG5000,0.9388888888888889,0.922
ECGFiveDays,0.7793263646922184,0.6794425087108014
EOGHorizontalSignal,0.569060773480663,0.5359116022099447
EOGVerticalSignal,0.425414364640884,0.3867403314917127
EthanolLevel,0.34,0.256
FaceAll,0.7538461538461538,0.685207100591716
FaceFour,0.6477272727272727,0.5227272727272727
FacesUCR,0.7053658536585365,0.588780487804878
FiftyWords,0.5978021978021978,0.5560439560439561
Fish,0.7714285714285715,0.6342857142857142
FordA,0.9143939393939394,0.896969696969697
FordB,0.7469135802469136,0.7246913580246913
FreezerRegularTrain,0.9989473684210526,0.9989473684210526
FreezerSmallTrain,0.9712280701754386,0.9164912280701755
GunPoint,0.9533333333333334,0.9333333333333333
GunPointAgeSpan,0.9493670886075949,0.9335443037974683
GunPointMaleVersusFemale,0.990506329113924,0.990506329113924
GunPointOldVersusYoung,0.9809523809523809,0.9587301587301588
Ham,0.638095238095238,0.5523809523809524
Haptics,0.4642857142857143,0.40584415584415584
Herring,0.546875,0.59375
HouseTwenty,0.9411764705882353,0.907563025210084
InlineSkate,0.43636363636363634,0.42
InsectEPGRegularTrain,0.9357429718875502,0.9317269076305221
InsectEPGSmallTrain,0.8514056224899599,0.8634538152610441
InsectWingbeatSound,0.5631313131313131,0.5378787878787878
ItalyPowerDemand,0.8950437317784257,0.8347910592808552
LargeKitchenAppliances,0.8506666666666667,0.8266666666666667
Lightning2,0.7213114754098361,0.6885245901639344
Lightning7,0.6712328767123288,0.5616438356164384
Mallat,0.9095948827292111,0.7906183368869936
Meat,0.9166666666666666,0.7166666666666667
MedicalImages,0.756578947368421,0.7223684210526315
MiddlePhalanxOutlineAgeGroup,0.6103896103896104,0.5909090909090909
MiddlePhalanxOutlineCorrect,0.7628865979381443,0.7560137457044673
MiddlePhalanxTW,0.5454545454545454,0.538961038961039
MixedShapesRegularTrain,0.9150515463917526,0.8783505154639175
MixedShapesSmallTrain,0.8630927835051546,0.828041237113402
MoteStrain,0.8466453674121406,0.7723642172523961
OliveOil,0.7333333333333333,0.5666666666666667
OSULeaf,0.6983471074380165,0.6652892561983471
PhalangesOutlinesCorrect,0.782051282051282,0.7400932400932401
Phoneme,0.2974683544303797,0.27109704641350213
PigAirwayPressure,0.3269230769230769,0.25
PigArtPressure,0.8846153846153846,0.6538461538461539
PigCVP,0.5432692307692307,0.3798076923076923
Plane,0.9809523809523809,0.9714285714285714
PowerCons,0.8833333333333333,0.8333333333333334
ProximalPhalanxOutlineAgeGroup,0.8536585365853658,0.8341463414634146
ProximalPhalanxOutlineCorrect,0.852233676975945,0.8384879725085911
ProximalPhalanxTW,0.7609756097560976,0.7951219512195122
RefrigerationDevices,0.49866666666666665,0.504
Rock,0.72,0.68
ScreenType,0.5253333333333333,0.48
SemgHandGenderCh2,0.8716666666666667,0.81
SemgHandMovementCh2,0.6666666666666666,0.47333333333333333
SemgHandSubjectCh2,0.8111111111111111,0.6888888888888889
ShapeletSim,1.0,0.9722222222222222
ShapesAll,0.795,0.685
SmallKitchenAppliances,0.8133333333333334,0.8
SmoothSubspace,0.8533333333333334,0.7333333333333333
SonyAIBORobotSurface1,0.8668885191347754,0.8851913477537438
SonyAIBORobotSurface2,0.9160545645330536,0.9286463798530955
Strawberry,0.9405405405405406,0.8891891891891892
SwedishLeaf,0.8992,0.8272
Symbols,0.9537688442211055,0.9567839195979899
SyntheticControl,0.97,0.94
ToeSegmentation1,0.8508771929824561,0.8026315789473685
ToeSegmentation2,0.7769230769230769,0.7384615384615385
Trace,1.0,0.99
TwoLeadECG,0.8463564530289728,0.8244073748902546
TwoPatterns,0.8475,0.7865
UMD,0.8888888888888888,0.8472222222222222
UWaveGestureLibraryX,0.7526521496370743,0.7049134561697376
UWaveGestureLibraryY,0.6912339475153545,0.6501954215522054
UWaveGestureLibraryZ,0.6998883305415968,0.6577331099944165
Wafer,0.9980532121998702,0.9969175859831279
Wine,0.3888888888888889,0.5185185185185185
WordSynonyms,0.5454545454545454,0.49843260188087773
Worms,0.7272727272727273,0.7012987012987013
WormsTwoClass,0.8571428571428571,0.8051948051948052
Yoga,0.78,0.6883333333333334
